id,name,nationality,city,latitude,longitude,gender,ethnic.group,age,english.grade,math.grade,sciences.grade,language.grade,portfolio.rating,coverletter.rating,refletter.rating
0,Kiana Lor,China,Suzhou,31.31,120.62,F,NA,22,3.5,3.7,3.1,1,4,4,4
1,Joshua Lonaker,United States of America,Santa Clarita,34.39,-118.54,M,NA,22,2.9,3.2,3.6,5,5,4,5
2,Dakota Blanco,United States of America,Oakland,37.8,-122.27,F,NA,22,3.9,3.8,3.2,5,3,3,4
3,Natasha Yarusso,United States of America,Castro Valley,37.69,-122.09,F,NA,20,3.3,2.8,3.2,5,5,2,4
4,Brooke Cazares,Brazil,São José dos Campos,-23.18,-45.88,F,NA,21,3.7,2.6,3.4,1,4,4,5
5,Rochelle Johnson,United States of America,Indianapolis,39.77,-86.16,F,NA,21,3.4,3.1,3.7,5,2,4,4
6,Joey Abreu,China,Shenyang,41.79,123.43,M,NA,22,3.7,3.9,3.6,2,5,5,5
7,Preston Suarez,Brazil,São Paulo,-23.47,-46.67,M,NA,22,3.8,3.7,3.6,2,5,5,4
8,Lee Dong,Philippines,Manila,14.6,120.98,F,NA,24,3.9,3.6,3.2,2,4,3,5
9,Maa'iz al-Dia,Turkey,Istanbul,41.02,28.96,M,NA,22,2.4,2.8,3.8,3,5,5,4
10,Maja Nicholson,United States of America,Dallas,32.78,-96.8,F,NA,23,3.4,3.5,3.2,5,4,2,5
11,Sasha Jansen,United States of America,Chicago,41.85,-87.65,F,NA,21,1.7,4,3.6,5,4,4,5
12,Alexander Sherman,United States of America,Omaha,41.26,-95.94,M,NA,20,3.8,3.6,3.9,5,4,4,5
13,Edgar Sanchez,Mexico,Tijuana,32.53,-117.02,M,NA,23,3.7,3.5,4,4,4,5,5
14,Kolbi Strunk,United States of America,Mission Viejo,33.6,-117.67,M,NA,21,3.2,3.9,3.3,5,4,3,4
15,Brittany Sath,Japan,Tokyo,35.69,139.75,F,NA,21,4,3.9,3.7,3,5,3,5
16,Meggan Smith,United States of America,Los Angeles,34.05,-118.24,F,NA,21,2.9,3.4,3.6,5,2,5,4
17,Ericka Arreola,Mexico,Mexico,19.43,-99.14,other,NA,23,3.1,3.5,2.8,4,4,3,4
18,David Pulc,Canada,Toronto,43.67,-79.42,M,NA,24,3.9,2.9,4,5,5,4,2
19,Kyle Luckey,United States of America,Moreno Valley,33.94,-117.23,M,NA,23,3.7,3.9,3.4,5,3,4,4
20,Rojesh Her,Japan,Tokyo,35.69,139.75,M,NA,22,3.8,3.6,3.6,2,4,4,3
21,David Weber,China,Peking,39.93,116.39,M,NA,20,3.9,3.9,3.9,2,3,4,5
22,Rachel Jambor,United States of America,Chicago,41.85,-87.65,F,NA,22,3.6,3.6,3.9,5,3,4,4
23,Mus'ab al-Moustafa,Pakistan,Rawalpindi,33.6,73.07,M,NA,23,3.8,3.9,3.8,2,2,5,4
24,Sila Nguyen,China,Hebi,35.9,114.19,M,NA,23,2.8,3.5,3.5,4,5,4,4
25,Samantha Hicks,United States of America,Santa Barbara,34.42,-119.7,F,NA,22,3.7,3.7,3.8,5,3,4,4
26,Angela Harding,United States of America,Manteca,37.8,-121.22,F,NA,22,3.1,2.9,3.2,5,3,5,5
27,Brandon Barbour,United States of America,South Hill,47.14,-122.27,M,NA,21,3.9,3.7,3.3,5,4,5,5
28,Reilly Wagar,United States of America,Modesto,37.64,-121,F,NA,23,3.4,3.2,3.7,5,5,4,5
29,Victoria Ibarra,Dominican Republic,Santo Domingo,18.47,-69.9,F,NA,22,3.4,3.8,4,4,5,5,5
30,Dakota Wirth,United States of America,Sacramento,38.58,-121.49,F,NA,22,3.4,3.9,3.6,5,3,5,5
31,Lauren Klocker,United States of America,Los Angeles,34.05,-118.24,F,NA,22,2.3,3.9,3.8,5,5,3,4
32,Michael Benson,United States of America,Phoenix,33.45,-112.07,M,NA,21,3.8,3.7,3.7,5,4,5,3
33,Sean Rozga,United States of America,Los Angeles,34.05,-118.24,M,NA,21,3.4,3.8,3.6,5,4,5,4
34,Cody Vermeylen,United States of America,Detroit,42.33,-83.05,M,NA,23,3.3,3.8,3.5,5,2,3,4
35,Kinaana al-Jamail,India,Kanpur,26.47,80.35,F,NA,22,3.3,3.8,3.7,3,4,4,4
36,Daniel Garcia,Peru,Lima,-12.05,-77.05,M,NA,22,3.7,3.1,3,3,5,5,5
37,Katrina Saito,Japan,Tokyo,35.69,139.75,F,NA,22,3.8,4,3.7,4,5,4,5
38,Joshua Galloway,United States of America,New York,40.71,-74.01,M,NA,24,3.3,3.3,3.6,5,4,5,5
39,Aylin Mendoza,Mexico,Mexico,19.43,-99.14,F,NA,22,3,2.3,3.9,4,2,4,4
40,Sharon Fyfe,United States of America,Los Angeles,34.05,-118.24,F,NA,22,3.7,3,3.8,5,4,5,4
41,Afnaan el-Mohammed,India,New Delhi,28.6,77.2,F,NA,22,1.7,3.5,3.9,2,5,5,4
42,Jesse Williams,Russian Federation,Moscow,55.75,37.62,F,NA,21,3.9,3.4,2.6,4,4,4,5
43,Kenny Fukushima,Japan,Tokyo,35.69,139.75,M,NA,22,3.9,2.9,3.3,4,5,5,5
44,Tawnie Glaisher,United States of America,Fremont,37.55,-121.99,F,NA,24,3.4,3.2,3.8,5,4,4,5
45,Britany Stevens,United States of America,Lafayette,37.89,-122.12,F,NA,23,3.6,3.3,3.5,5,3,3,3
46,Alan Trinh,Japan,Tokyo,35.69,139.75,M,NA,20,2.8,3.1,3.8,4,3,4,5
47,Zoe Kern,United States of America,West Jordan,40.61,-111.94,F,NA,22,2.1,4,3.4,5,4,5,4
48,Sidney Beavers,United States of America,Los Angeles,34.05,-118.24,M,NA,23,2.3,2.8,3.5,5,4,4,4
49,Miriam Aguilar,Mexico,Mexicali,32.65,-115.47,F,NA,22,3.6,3.8,2.8,2,4,4,4
50,Issac Mata,Mexico,Tehuacán,18.45,-97.38,M,NA,23,2.4,3.1,2.7,1,5,5,4
