id,name,nationality,city,latitude,longitude,gender,ethnic.group,age,english.grade,math.grade,sciences.grade,language.grade,portfolio.rating,coverletter.rating,refletter.rating
0,KIANA LOR,CHINA,SUZHOU,31.31,120.62,F,NAN,22,3.5,3.7,3.1,1,4,4,4
1,JOSHUA LONAKER,UNITED STATES OF AMERICA,SANTA CLARITA,34.39,-118.54,M,NAN,22,2.9,3.2,3.6,5,5,4,5
2,DAKOTA BLANCO,UNITED STATES OF AMERICA,OAKLAND,37.8,-122.27,F,NAN,22,3.9,3.8,3.2,5,3,3,4
3,NATASHA YARUSSO,UNITED STATES OF AMERICA,CASTRO VALLEY,37.69,-122.09,F,NAN,20,3.3,2.8,3.2,5,5,2,4
4,BROOKE CAZARES,BRAZIL,SÃO JOSÉ DOS CAMPOS,-23.18,-45.88,F,NAN,21,3.7,2.6,3.4,1,4,4,5
5,ROCHELLE JOHNSON,UNITED STATES OF AMERICA,INDIANAPOLIS,39.77,-86.16,F,NAN,21,3.4,3.1,3.7,5,2,4,4
6,JOEY ABREU,CHINA,SHENYANG,41.79,123.43,M,NAN,22,3.7,3.9,3.6,2,5,5,5
7,PRESTON SUAREZ,BRAZIL,SÃO PAULO,-23.47,-46.67,M,NAN,22,3.8,3.7,3.6,2,5,5,4
8,LEE DONG,PHILIPPINES,MANILA,14.6,120.98,F,NAN,24,3.9,3.6,3.2,2,4,3,5
9,MAA'IZ AL-DIA,TURKEY,ISTANBUL,41.02,28.96,M,NAN,22,2.4,2.8,3.8,3,5,5,4
10,MAJA NICHOLSON,UNITED STATES OF AMERICA,DALLAS,32.78,-96.8,F,NAN,23,3.4,3.5,3.2,5,4,2,5
11,SASHA JANSEN,UNITED STATES OF AMERICA,CHICAGO,41.85,-87.65,F,NAN,21,1.7,4.0,3.6,5,4,4,5
12,ALEXANDER SHERMAN,UNITED STATES OF AMERICA,OMAHA,41.26,-95.94,M,NAN,20,3.8,3.6,3.9,5,4,4,5
13,EDGAR SANCHEZ,MEXICO,TIJUANA,32.53,-117.02,M,NAN,23,3.7,3.5,4.0,4,4,5,5
14,KOLBI STRUNK,UNITED STATES OF AMERICA,MISSION VIEJO,33.6,-117.67,M,NAN,21,3.2,3.9,3.3,5,4,3,4
15,BRITTANY SATH,JAPAN,TOKYO,35.69,139.75,F,NAN,21,4.0,3.9,3.7,3,5,3,5
16,MEGGAN SMITH,UNITED STATES OF AMERICA,LOS ANGELES,34.05,-118.24,F,NAN,21,2.9,3.4,3.6,5,2,5,4
17,ERICKA ARREOLA,MEXICO,MEXICO,19.43,-99.14,OTHER,NAN,23,3.1,3.5,2.8,4,4,3,4
18,DAVID PULC,CANADA,TORONTO,43.67,-79.42,M,NAN,24,3.9,2.9,4.0,5,5,4,2
19,KYLE LUCKEY,UNITED STATES OF AMERICA,MORENO VALLEY,33.94,-117.23,M,NAN,23,3.7,3.9,3.4,5,3,4,4
20,ROJESH HER,JAPAN,TOKYO,35.69,139.75,M,NAN,22,3.8,3.6,3.6,2,4,4,3
21,DAVID WEBER,CHINA,PEKING,39.93,116.39,M,NAN,20,3.9,3.9,3.9,2,3,4,5
22,RACHEL JAMBOR,UNITED STATES OF AMERICA,CHICAGO,41.85,-87.65,F,NAN,22,3.6,3.6,3.9,5,3,4,4
23,MUS'AB AL-MOUSTAFA,PAKISTAN,RAWALPINDI,33.6,73.07,M,NAN,23,3.8,3.9,3.8,2,2,5,4
24,SILA NGUYEN,CHINA,HEBI,35.9,114.19,M,NAN,23,2.8,3.5,3.5,4,5,4,4
25,SAMANTHA HICKS,UNITED STATES OF AMERICA,SANTA BARBARA,34.42,-119.7,F,NAN,22,3.7,3.7,3.8,5,3,4,4
26,ANGELA HARDING,UNITED STATES OF AMERICA,MANTECA,37.8,-121.22,F,NAN,22,3.1,2.9,3.2,5,3,5,5
27,BRANDON BARBOUR,UNITED STATES OF AMERICA,SOUTH HILL,47.14,-122.27,M,NAN,21,3.9,3.7,3.3,5,4,5,5
28,REILLY WAGAR,UNITED STATES OF AMERICA,MODESTO,37.64,-121.0,F,NAN,23,3.4,3.2,3.7,5,5,4,5
29,VICTORIA IBARRA,DOMINICAN REPUBLIC,SANTO DOMINGO,18.47,-69.9,F,NAN,22,3.4,3.8,4.0,4,5,5,5
30,DAKOTA WIRTH,UNITED STATES OF AMERICA,SACRAMENTO,38.58,-121.49,F,NAN,22,3.4,3.9,3.6,5,3,5,5
31,LAUREN KLOCKER,UNITED STATES OF AMERICA,LOS ANGELES,34.05,-118.24,F,NAN,22,2.3,3.9,3.8,5,5,3,4
32,MICHAEL BENSON,UNITED STATES OF AMERICA,PHOENIX,33.45,-112.07,M,NAN,21,3.8,3.7,3.7,5,4,5,3
33,SEAN ROZGA,UNITED STATES OF AMERICA,LOS ANGELES,34.05,-118.24,M,NAN,21,3.4,3.8,3.6,5,4,5,4
34,CODY VERMEYLEN,UNITED STATES OF AMERICA,DETROIT,42.33,-83.05,M,NAN,23,3.3,3.8,3.5,5,2,3,4
35,KINAANA AL-JAMAIL,INDIA,KANPUR,26.47,80.35,F,NAN,22,3.3,3.8,3.7,3,4,4,4
36,DANIEL GARCIA,PERU,LIMA,-12.05,-77.05,M,NAN,22,3.7,3.1,3.0,3,5,5,5
37,KATRINA SAITO,JAPAN,TOKYO,35.69,139.75,F,NAN,22,3.8,4.0,3.7,4,5,4,5
38,JOSHUA GALLOWAY,UNITED STATES OF AMERICA,NEW YORK,40.71,-74.01,M,NAN,24,3.3,3.3,3.6,5,4,5,5
39,AYLIN MENDOZA,MEXICO,MEXICO,19.43,-99.14,F,NAN,22,3.0,2.3,3.9,4,2,4,4
40,SHARON FYFE,UNITED STATES OF AMERICA,LOS ANGELES,34.05,-118.24,F,NAN,22,3.7,3.0,3.8,5,4,5,4
41,AFNAAN EL-MOHAMMED,INDIA,NEW DELHI,28.6,77.2,F,NAN,22,1.7,3.5,3.9,2,5,5,4
42,JESSE WILLIAMS,RUSSIAN FEDERATION,MOSCOW,55.75,37.62,F,NAN,21,3.9,3.4,2.6,4,4,4,5
43,KENNY FUKUSHIMA,JAPAN,TOKYO,35.69,139.75,M,NAN,22,3.9,2.9,3.3,4,5,5,5
44,TAWNIE GLAISHER,UNITED STATES OF AMERICA,FREMONT,37.55,-121.99,F,NAN,24,3.4,3.2,3.8,5,4,4,5
45,BRITANY STEVENS,UNITED STATES OF AMERICA,LAFAYETTE,37.89,-122.12,F,NAN,23,3.6,3.3,3.5,5,3,3,3
46,ALAN TRINH,JAPAN,TOKYO,35.69,139.75,M,NAN,20,2.8,3.1,3.8,4,3,4,5
47,ZOE KERN,UNITED STATES OF AMERICA,WEST JORDAN,40.61,-111.94,F,NAN,22,2.1,4.0,3.4,5,4,5,4
48,SIDNEY BEAVERS,UNITED STATES OF AMERICA,LOS ANGELES,34.05,-118.24,M,NAN,23,2.3,2.8,3.5,5,4,4,4
49,MIRIAM AGUILAR,MEXICO,MEXICALI,32.65,-115.47,F,NAN,22,3.6,3.8,2.8,2,4,4,4
50,ISSAC MATA,MEXICO,TEHUACÁN,18.45,-97.38,M,NAN,23,2.4,3.1,2.7,1,5,5,4
